epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4520.78,1.35914,1.08382,1.41311,0.91129,0.75035,0.83293,0.53828,1.3047,0.86246,1.4035,0.008614,0.008614,0.008614
44,4625.88,1.36731,1.07674,1.40293,0.93465,0.73272,0.83395,0.53975,1.29199,0.86636,1.39652,0.008581,0.008581,0.008581
45,4731.17,1.34758,1.05872,1.39676,0.92232,0.74201,0.83279,0.53137,1.3106,0.87478,1.4063,0.008548,0.008548,0.008548
46,4836.21,1.34724,1.06904,1.40181,0.92683,0.74176,0.8322,0.54708,1.2628,0.84719,1.38095,0.008515,0.008515,0.008515
47,4941.1,1.33393,1.05004,1.38712,0.91989,0.74847,0.83614,0.54622,1.26401,0.84189,1.37499,0.008482,0.008482,0.008482
48,5045.85,1.32574,1.04166,1.37912,0.91955,0.75934,0.8376,0.55657,1.27099,0.83915,1.37906,0.008449,0.008449,0.008449
49,5150.79,1.32002,1.04323,1.38561,0.92723,0.75773,0.83978,0.55413,1.24925,0.81905,1.3614,0.008416,0.008416,0.008416
50,5255.68,1.33047,1.02984,1.37857,0.94048,0.74666,0.83714,0.53404,1.30085,0.82807,1.39726,0.008383,0.008383,0.008383
51,5360.6,1.31612,1.01014,1.37374,0.92772,0.76294,0.83887,0.56349,1.22967,0.81291,1.34926,0.00835,0.00835,0.00835
52,5465.32,1.31003,0.99537,1.36602,0.92929,0.7599,0.8443,0.56423,1.22534,0.79932,1.34633,0.008317,0.008317,0.008317
53,5570.22,1.29712,0.99194,1.36066,0.93425,0.76435,0.84434,0.57253,1.20519,0.78316,1.32671,0.008284,0.008284,0.008284
54,5674.98,1.294,0.99195,1.3573,0.91814,0.76265,0.84613,0.56448,1.22512,0.79277,1.34704,0.008251,0.008251,0.008251
55,5780.07,1.28282,0.97208,1.35306,0.9171,0.76298,0.84416,0.57358,1.19181,0.77663,1.32239,0.008218,0.008218,0.008218
56,5884.96,1.27855,0.97342,1.34557,0.91144,0.77397,0.84756,0.58159,1.19106,0.77656,1.31074,0.008185,0.008185,0.008185
57,5989.85,1.27274,0.95534,1.3382,0.93706,0.75977,0.84738,0.56375,1.22767,0.77639,1.33771,0.008152,0.008152,0.008152
58,6094.85,1.26525,0.96877,1.33351,0.9329,0.75642,0.84032,0.57098,1.20268,0.77084,1.32068,0.008119,0.008119,0.008119
59,6199.65,1.278,0.96826,1.34488,0.93428,0.7642,0.84552,0.58476,1.16326,0.75346,1.29556,0.008086,0.008086,0.008086
60,6304.74,1.25727,0.94325,1.32611,0.94054,0.76476,0.85008,0.58085,1.18444,0.74221,1.32414,0.008053,0.008053,0.008053
61,6409.64,1.248,0.94653,1.31974,0.94455,0.75921,0.84828,0.58405,1.17936,0.75052,1.30916,0.00802,0.00802,0.00802
62,6514.58,1.24122,0.92678,1.3195,0.93488,0.76126,0.84562,0.58198,1.17646,0.75281,1.30551,0.007987,0.007987,0.007987
63,6619.51,1.23901,0.9221,1.30749,0.93528,0.77573,0.85319,0.59372,1.14195,0.72054,1.28066,0.007954,0.007954,0.007954
64,6724.49,1.23206,0.90363,1.30622,0.92783,0.77905,0.85207,0.58572,1.15294,0.718,1.28752,0.007921,0.007921,0.007921
65,6829.44,1.23467,0.91558,1.30723,0.9381,0.77644,0.85414,0.58694,1.1749,0.73787,1.29957,0.007888,0.007888,0.007888
66,6934.38,1.22819,0.90554,1.30859,0.92657,0.78884,0.85471,0.59278,1.14919,0.71708,1.28585,0.007855,0.007855,0.007855
67,7039.27,1.21536,0.91152,1.30393,0.94571,0.76727,0.85734,0.60372,1.11832,0.70047,1.25829,0.007822,0.007822,0.007822
68,7144.08,1.21173,0.90734,1.29503,0.92551,0.77779,0.85765,0.60052,1.13193,0.70868,1.27208,0.007789,0.007789,0.007789
69,7248.95,1.21691,0.89242,1.29543,0.91135,0.78422,0.8584,0.61111,1.10007,0.68987,1.24265,0.007756,0.007756,0.007756
