epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,19641.4,0.86985,0.57598,1.06593,0.94553,0.8207,0.88265,0.7118,0.7924,0.49076,1.05107,0.003862,0.003862,0.003862
188,19746.5,0.86829,0.57591,1.0661,0.94824,0.8192,0.88268,0.7114,0.79193,0.48944,1.05118,0.003829,0.003829,0.003829
189,19851.5,0.8704,0.57475,1.06839,0.94525,0.8214,0.88331,0.71105,0.79187,0.48886,1.05105,0.003796,0.003796,0.003796
190,19956.6,0.87343,0.58642,1.07057,0.94626,0.82196,0.88328,0.71121,0.78965,0.48768,1.04988,0.003763,0.003763,0.003763
191,20061.5,0.87323,0.5737,1.06426,0.94436,0.82501,0.88331,0.71116,0.78814,0.48759,1.04913,0.00373,0.00373,0.00373
192,20166.5,0.86759,0.57061,1.05921,0.94496,0.82399,0.88167,0.71179,0.78768,0.48842,1.04884,0.003697,0.003697,0.003697
193,20271.6,0.87422,0.57652,1.05971,0.94745,0.82266,0.88195,0.71262,0.78651,0.48864,1.04751,0.003664,0.003664,0.003664
194,20376.6,0.8671,0.57402,1.06206,0.93858,0.8276,0.88296,0.71304,0.78584,0.4881,1.0471,0.003631,0.003631,0.003631
195,20481.6,0.87194,0.57614,1.06304,0.94041,0.82653,0.88318,0.7131,0.7846,0.48832,1.04643,0.003598,0.003598,0.003598
196,20586.8,0.85754,0.55575,1.05078,0.94159,0.82606,0.88309,0.71241,0.78469,0.48849,1.04621,0.003565,0.003565,0.003565
197,20691.8,0.85858,0.55323,1.04968,0.94141,0.82444,0.88327,0.71231,0.78526,0.48879,1.04649,0.003532,0.003532,0.003532
198,20797,0.87288,0.57618,1.06368,0.95083,0.81888,0.88323,0.71266,0.78549,0.48801,1.04732,0.003499,0.003499,0.003499
199,20902,0.84532,0.54711,1.04872,0.94659,0.82246,0.88322,0.71279,0.78448,0.48861,1.04638,0.003466,0.003466,0.003466
200,21007.1,0.85314,0.56168,1.04999,0.94649,0.82292,0.88402,0.71246,0.78448,0.48845,1.04621,0.003433,0.003433,0.003433
201,21112,0.8615,0.56491,1.05744,0.94752,0.82298,0.88382,0.71321,0.78345,0.48837,1.04587,0.0034,0.0034,0.0034
202,21217.1,0.84568,0.55514,1.05363,0.94678,0.8225,0.88348,0.71304,0.78351,0.48811,1.0463,0.003367,0.003367,0.003367
203,21322.2,0.84969,0.55389,1.05102,0.94578,0.82203,0.88348,0.71295,0.78261,0.48865,1.04473,0.003334,0.003334,0.003334
204,21427.2,0.85183,0.55462,1.0525,0.94526,0.82127,0.88346,0.71338,0.78324,0.48697,1.04595,0.003301,0.003301,0.003301
205,21532.5,0.84591,0.55667,1.05225,0.95103,0.81931,0.8837,0.71372,0.78273,0.48717,1.04572,0.003268,0.003268,0.003268
206,21637.5,0.83151,0.54224,1.04175,0.95158,0.81935,0.88333,0.71368,0.7825,0.48734,1.04543,0.003235,0.003235,0.003235
207,21742.5,0.84721,0.55602,1.04756,0.94497,0.82264,0.88348,0.71357,0.78251,0.48771,1.0451,0.003202,0.003202,0.003202
208,21847.5,0.8364,0.54785,1.04632,0.95126,0.81981,0.88333,0.71438,0.78227,0.48714,1.04489,0.003169,0.003169,0.003169
209,21952.6,0.83438,0.54503,1.04007,0.94187,0.82429,0.88359,0.7148,0.78169,0.48667,1.04429,0.003136,0.003136,0.003136
210,22057.6,0.82207,0.53476,1.03756,0.9421,0.82394,0.88352,0.71476,0.78073,0.48601,1.0436,0.003103,0.003103,0.003103
211,22162.9,0.83735,0.55701,1.04316,0.94205,0.82512,0.88363,0.71519,0.77994,0.48521,1.04316,0.00307,0.00307,0.00307
212,22267.9,0.84078,0.54994,1.05106,0.94173,0.82558,0.884,0.71584,0.77918,0.48397,1.04303,0.003037,0.003037,0.003037
213,22372.8,0.8222,0.53398,1.03891,0.94134,0.82494,0.88408,0.71662,0.77878,0.48307,1.04273,0.003004,0.003004,0.003004
214,22478,0.81769,0.52977,1.03557,0.94959,0.82091,0.88429,0.71667,0.77788,0.4826,1.0421,0.002971,0.002971,0.002971
215,22583.2,0.84041,0.54913,1.04626,0.94864,0.82171,0.88386,0.7168,0.77758,0.48252,1.04176,0.002938,0.002938,0.002938
216,22688.4,0.83555,0.54611,1.0464,0.94353,0.82471,0.88407,0.71638,0.77722,0.48293,1.04152,0.002905,0.002905,0.002905
217,22793.4,0.82271,0.53998,1.04138,0.94284,0.82444,0.88443,0.71632,0.77691,0.48344,1.04106,0.002872,0.002872,0.002872
218,22898.5,0.8251,0.5403,1.03707,0.94536,0.82325,0.8834,0.71626,0.7766,0.48315,1.04138,0.002839,0.002839,0.002839
219,23003.4,0.82971,0.53894,1.03596,0.9434,0.82386,0.88346,0.71684,0.77647,0.48303,1.04126,0.002806,0.002806,0.002806
220,23108.4,0.81438,0.53329,1.03433,0.94488,0.82359,0.88334,0.71701,0.7759,0.48252,1.04085,0.002773,0.002773,0.002773
221,23213.6,0.80943,0.52874,1.03027,0.94637,0.82329,0.88328,0.717,0.7756,0.48228,1.04063,0.00274,0.00274,0.00274
222,23318.6,0.81035,0.52719,1.03312,0.94647,0.82329,0.88358,0.71718,0.77522,0.48198,1.04042,0.002707,0.002707,0.002707
223,23423.7,0.81056,0.53066,1.0283,0.94696,0.82329,0.88357,0.71748,0.77525,0.48166,1.04053,0.002674,0.002674,0.002674
224,23528.7,0.81321,0.52535,1.03042,0.94698,0.8216,0.88329,0.71792,0.77505,0.48096,1.04036,0.002641,0.002641,0.002641
225,23633.7,0.80596,0.52746,1.03369,0.94693,0.82121,0.88339,0.71818,0.77464,0.4802,1.04031,0.002608,0.002608,0.002608
226,23738.7,0.79617,0.51381,1.02263,0.94935,0.82079,0.88338,0.71869,0.77383,0.47962,1.03997,0.002575,0.002575,0.002575
227,23843.6,0.79983,0.52015,1.02602,0.9501,0.82039,0.88366,0.71868,0.77336,0.47925,1.03983,0.002542,0.002542,0.002542
228,23948.6,0.8075,0.52723,1.03141,0.95035,0.82003,0.88378,0.71892,0.77293,0.47904,1.03976,0.002509,0.002509,0.002509
229,24055.4,0.79637,0.51125,1.02406,0.95081,0.82031,0.88411,0.71954,0.77231,0.47861,1.03946,0.002476,0.002476,0.002476
230,24161.3,0.7895,0.51354,1.01935,0.95083,0.82037,0.88417,0.71958,0.77156,0.47788,1.03917,0.002443,0.002443,0.002443
231,24266.2,0.79336,0.51425,1.0233,0.9509,0.82048,0.88371,0.71971,0.77083,0.47737,1.03891,0.00241,0.00241,0.00241
232,24371.4,0.79936,0.52637,1.02923,0.95085,0.82052,0.88314,0.72038,0.77011,0.47715,1.03858,0.002377,0.002377,0.002377
233,24476.6,0.79554,0.51894,1.02639,0.95072,0.82098,0.88309,0.72017,0.76954,0.47669,1.03842,0.002344,0.002344,0.002344
234,24581.6,0.78934,0.50728,1.02008,0.94516,0.82551,0.88324,0.72084,0.76929,0.47638,1.03839,0.002311,0.002311,0.002311
235,24686.5,0.79331,0.51705,1.02036,0.94573,0.8255,0.88342,0.72067,0.76905,0.47599,1.03826,0.002278,0.002278,0.002278
236,24791.6,0.78003,0.5014,1.01327,0.94573,0.82555,0.88354,0.72081,0.76863,0.4757,1.03805,0.002245,0.002245,0.002245
237,24896.6,0.77755,0.50969,1.01565,0.94646,0.82497,0.88352,0.72118,0.76838,0.47522,1.0378,0.002212,0.002212,0.002212
238,25001.6,0.76435,0.49461,1.00907,0.9467,0.82453,0.8843,0.72145,0.76776,0.47525,1.03756,0.002179,0.002179,0.002179
239,25106.6,0.78022,0.49629,1.01253,0.94513,0.82687,0.88436,0.72169,0.76726,0.4749,1.03716,0.002146,0.002146,0.002146
240,25211.7,0.78713,0.50952,1.02045,0.94696,0.82455,0.88469,0.72174,0.76648,0.47477,1.03668,0.002113,0.002113,0.002113
241,25316.8,0.7727,0.49778,1.01302,0.94775,0.82419,0.8848,0.72189,0.76582,0.4746,1.03635,0.00208,0.00208,0.00208
242,25421.8,0.75919,0.49631,1.01119,0.94777,0.82405,0.8846,0.72174,0.76536,0.4743,1.03606,0.002047,0.002047,0.002047
243,25526.8,0.7717,0.50935,1.01417,0.95001,0.82281,0.88443,0.72195,0.76497,0.47391,1.0359,0.002014,0.002014,0.002014
244,25631.8,0.76798,0.49928,1.01278,0.95016,0.8214,0.88459,0.72184,0.76456,0.4734,1.036,0.001981,0.001981,0.001981
245,25736.9,0.76636,0.49835,1.0112,0.95001,0.82189,0.88438,0.72223,0.76408,0.47331,1.03578,0.001948,0.001948,0.001948
246,25842,0.77385,0.49792,1.01837,0.95054,0.82206,0.88465,0.72202,0.76348,0.47306,1.03519,0.001915,0.001915,0.001915
247,25947,0.75877,0.4906,1.01036,0.94994,0.82239,0.88527,0.72235,0.76307,0.47293,1.03508,0.001882,0.001882,0.001882
248,26052,0.76764,0.501,1.01777,0.95014,0.82244,0.88526,0.7229,0.7626,0.47276,1.03505,0.001849,0.001849,0.001849
249,26156.9,0.7589,0.4893,1.0083,0.95087,0.82206,0.88491,0.72296,0.76242,0.47265,1.03512,0.001816,0.001816,0.001816
250,26261.8,0.75164,0.4844,1.00763,0.95168,0.8215,0.88486,0.72296,0.76198,0.4726,1.03487,0.001783,0.001783,0.001783
251,26367,0.75463,0.48471,1.00804,0.95135,0.82159,0.88482,0.72293,0.76157,0.47244,1.03473,0.00175,0.00175,0.00175
252,26472,0.74419,0.47849,1.00153,0.95109,0.82172,0.8848,0.72282,0.76093,0.47243,1.03453,0.001717,0.001717,0.001717
253,26576.9,0.74364,0.48056,0.99967,0.95146,0.82185,0.88485,0.72277,0.7605,0.47234,1.0343,0.001684,0.001684,0.001684
254,26681.9,0.73736,0.4782,0.99571,0.95167,0.82165,0.88487,0.72294,0.76006,0.47206,1.03408,0.001651,0.001651,0.001651
255,26786.8,0.74198,0.47846,1.00136,0.95386,0.81977,0.88482,0.72296,0.75957,0.4718,1.03377,0.001618,0.001618,0.001618
256,26891.8,0.74194,0.47303,1.00084,0.95366,0.81967,0.88494,0.72291,0.7593,0.47159,1.03374,0.001585,0.001585,0.001585
257,26996.9,0.74047,0.48016,1.00118,0.95414,0.8199,0.88501,0.7229,0.75895,0.47139,1.03349,0.001552,0.001552,0.001552
258,27101.9,0.74613,0.47853,1.00184,0.9544,0.81975,0.88505,0.7235,0.75846,0.47125,1.03325,0.001519,0.001519,0.001519
259,27206.9,0.74672,0.4848,1.00031,0.95437,0.82017,0.88499,0.72378,0.75809,0.4712,1.033,0.001486,0.001486,0.001486
260,27311.9,0.74294,0.47867,1.00199,0.95438,0.82021,0.88504,0.72388,0.75773,0.47106,1.03273,0.001453,0.001453,0.001453
261,27416.9,0.72756,0.46632,0.9917,0.95421,0.82032,0.88507,0.7241,0.75752,0.47073,1.03255,0.00142,0.00142,0.00142
262,27522,0.74009,0.47643,0.99612,0.95358,0.82034,0.88529,0.72373,0.75727,0.47055,1.03235,0.001387,0.001387,0.001387
263,27626.9,0.7303,0.4745,0.99173,0.95446,0.82013,0.88528,0.72386,0.757,0.47045,1.03219,0.001354,0.001354,0.001354
264,27732,0.71757,0.46651,0.98392,0.95407,0.82013,0.88526,0.72405,0.75686,0.47028,1.03215,0.001321,0.001321,0.001321
265,27837.1,0.73321,0.47679,0.99714,0.95405,0.81997,0.88529,0.72408,0.75655,0.46993,1.0319,0.001288,0.001288,0.001288
266,27942.1,0.72852,0.46891,0.99575,0.95401,0.81989,0.88558,0.72425,0.75638,0.46977,1.0318,0.001255,0.001255,0.001255
267,28047.3,0.72746,0.46516,0.99152,0.95393,0.81989,0.88543,0.72443,0.75631,0.46956,1.03176,0.001222,0.001222,0.001222
268,28152.4,0.72071,0.46668,0.99068,0.95448,0.82038,0.88591,0.72475,0.75603,0.46943,1.03167,0.001189,0.001189,0.001189
269,28257.5,0.71508,0.4572,0.98701,0.95464,0.8203,0.88592,0.72502,0.75586,0.46924,1.03161,0.001156,0.001156,0.001156
270,28362.6,0.72552,0.46612,0.99215,0.9547,0.82001,0.88591,0.72502,0.7557,0.46924,1.03152,0.001123,0.001123,0.001123
271,28467.6,0.72351,0.46566,0.98805,0.95472,0.82015,0.8859,0.72502,0.75545,0.46913,1.0314,0.00109,0.00109,0.00109
272,28572.5,0.71493,0.45988,0.98759,0.95474,0.82032,0.88699,0.72531,0.75535,0.46901,1.03131,0.001057,0.001057,0.001057
273,28677.6,0.71027,0.46283,0.99132,0.95465,0.82065,0.887,0.72508,0.75508,0.46885,1.03113,0.001024,0.001024,0.001024
274,28782.5,0.70805,0.45234,0.98339,0.95457,0.82083,0.88697,0.72497,0.75478,0.46873,1.03096,0.000991,0.000991,0.000991
275,28887.7,0.70477,0.45823,0.98418,0.95447,0.82095,0.88699,0.7251,0.75458,0.46857,1.03083,0.000958,0.000958,0.000958
276,28992.8,0.70581,0.4602,0.98445,0.95447,0.82097,0.88697,0.72531,0.75436,0.4685,1.03076,0.000925,0.000925,0.000925
277,29098,0.70939,0.45635,0.98392,0.9545,0.82095,0.88699,0.72518,0.75406,0.46846,1.03063,0.000892,0.000892,0.000892
278,29203,0.70195,0.45175,0.98185,0.95454,0.82137,0.88699,0.72557,0.75372,0.46822,1.03046,0.000859,0.000859,0.000859
279,29308.2,0.69993,0.45695,0.98432,0.9546,0.82132,0.88698,0.72569,0.75334,0.46817,1.03015,0.000826,0.000826,0.000826
280,29413.3,0.69879,0.45513,0.98005,0.95489,0.82123,0.88698,0.72566,0.75307,0.46798,1.02999,0.000793,0.000793,0.000793
281,29518.3,0.6988,0.44926,0.9787,0.95457,0.82126,0.88697,0.72579,0.75284,0.46777,1.02985,0.00076,0.00076,0.00076
282,29623.4,0.69805,0.44055,0.97377,0.95482,0.82116,0.88697,0.72585,0.75262,0.46769,1.02962,0.000727,0.000727,0.000727
283,29728.6,0.68465,0.43988,0.97487,0.95497,0.82109,0.88671,0.72588,0.75241,0.46789,1.02949,0.000694,0.000694,0.000694
284,29833.8,0.68349,0.44251,0.97529,0.95502,0.82103,0.8867,0.72583,0.75227,0.46779,1.0294,0.000661,0.000661,0.000661
285,29939.3,0.69172,0.44139,0.97506,0.95498,0.82103,0.88669,0.72574,0.75209,0.46767,1.0293,0.000628,0.000628,0.000628
286,30044.5,0.6818,0.43956,0.97446,0.95097,0.82774,0.88666,0.72577,0.75185,0.4675,1.02917,0.000595,0.000595,0.000595
287,30149.4,0.68364,0.44667,0.97687,0.95097,0.82781,0.88668,0.72596,0.75163,0.46734,1.02902,0.000562,0.000562,0.000562
288,30254.6,0.68367,0.44219,0.97481,0.95154,0.82876,0.88686,0.72606,0.75147,0.46714,1.02887,0.000529,0.000529,0.000529
289,30359.7,0.67821,0.43922,0.97286,0.95222,0.82875,0.88686,0.7262,0.75119,0.46694,1.0287,0.000496,0.000496,0.000496
290,30464.7,0.67673,0.44219,0.97569,0.95189,0.82875,0.88687,0.72645,0.75097,0.46677,1.02857,0.000463,0.000463,0.000463
291,30605.6,0.68854,0.35667,0.97217,0.95195,0.82875,0.88684,0.72663,0.75069,0.46675,1.02846,0.00043,0.00043,0.00043
292,30709.9,0.65722,0.33608,0.95156,0.95197,0.82854,0.88731,0.72705,0.75061,0.46655,1.02853,0.000397,0.000397,0.000397
293,30814.5,0.64477,0.34042,0.94242,0.952,0.82848,0.88764,0.72706,0.75059,0.4665,1.02852,0.000364,0.000364,0.000364
294,30919.1,0.63843,0.32983,0.94337,0.95207,0.82839,0.88756,0.72707,0.75051,0.46641,1.02847,0.000331,0.000331,0.000331
295,31023.8,0.63185,0.32845,0.93879,0.95208,0.82853,0.88741,0.72701,0.75032,0.46645,1.02835,0.000298,0.000298,0.000298
296,31128.5,0.62549,0.32504,0.93242,0.95311,0.8278,0.88713,0.72695,0.75021,0.46645,1.02812,0.000265,0.000265,0.000265
297,31234,0.60808,0.31882,0.93079,0.95585,0.82491,0.88702,0.72648,0.75018,0.46628,1.02806,0.000232,0.000232,0.000232
298,31343.4,0.60712,0.31718,0.93103,0.95634,0.82513,0.88703,0.72654,0.75004,0.46623,1.02793,0.000199,0.000199,0.000199
299,31453.1,0.6086,0.31528,0.92815,0.95637,0.82576,0.88676,0.72674,0.74994,0.46614,1.02786,0.000166,0.000166,0.000166
300,31562.4,0.60313,0.31618,0.92877,0.95686,0.82366,0.88669,0.72668,0.74995,0.46597,1.02782,0.000133,0.000133,0.000133
